slug	index	source_url	local_file	format	width	height
carrotcard	01	https://play-lh.googleusercontent.com/f2Ch8Ogjk3-89NCiV4-rqX31Hl9cFyEejqp93oOo8zWfJkHERV68GRF-p8liuM6YUQphMEaaeZakgP5GKCPE=w1600	assets/screenshots/carrotcard/01.png	PNG	1080	2400
carrotcard	02	https://play-lh.googleusercontent.com/xebgQ9w8ztaJZyeZr7SNTB427RN_7bHk_kO1heeBZwVexibZGVBQzgxAAVLQvr4xUxaYwfd-CpeXc8DYyyzf=w1600	assets/screenshots/carrotcard/02.png	PNG	1080	2400
carrotcard	03	https://play-lh.googleusercontent.com/ZWxJb65qwC-MktLpt18fu-GB57LRvSefI409RP5sDATXpRpN9NdYlTWKONmpANHeBiE4EJie9h2UjmZ2FAWcKyo=w1600	assets/screenshots/carrotcard/03.png	PNG	1080	2400
maedo-signal	01	https://play-lh.googleusercontent.com/7cY3ni3kpW2cruwsFcYfc7iQMOGvBvkWIf2gL56YLwI877omYfNxnwikYWml3J5i28OLrRf0HUiWMwKUVWPAK8I=w1600	assets/screenshots/maedo-signal/01.png	PNG	1080	2206
maedo-signal	02	https://play-lh.googleusercontent.com/BFLtKkjINjvmWCjUBD_8xqSDDZAfL1yEMi31jbKeJkByvCE8__6KtJTu-aq52ZOQ2xaA10Yy6eW9UtA3QcZGTQ=w1600	assets/screenshots/maedo-signal/02.png	PNG	1080	2206
maedo-signal	03	https://play-lh.googleusercontent.com/DW8_ZhjvrlpFM4vr-iAb9VBiGY80iOy5n554QFFhcYf3kEwpdcy8xOYQXKkWdHYRlr-1wAJHKaEX_kHTAJmmV_k=w1600	assets/screenshots/maedo-signal/03.png	PNG	1080	2206
gps-speed-go	01	https://play-lh.googleusercontent.com/UfNCxu8nrPOZHOiGJoZ6S4hsw13V2EgyP716kS88U9i8lox6xqa99H_C3udVIEl3pvNUTuixrapx6brWMwJ9bw=w1600	assets/screenshots/gps-speed-go/01.png	PNG	1080	2400
gps-speed-go	02	https://play-lh.googleusercontent.com/FD1F4woA3jbU34qNhCQ6OuHFe2OE5wg2KbTLsHu1bbTNKWUInQX0G2fqFxfdldDnZrwFWZvDLuNl-LpWAI9k=w1600	assets/screenshots/gps-speed-go/02.png	PNG	1080	2400
gps-speed-go	03	https://play-lh.googleusercontent.com/8gdn9sBB4QhchNBRvx9izQ4wKFomFDZC1hMaaTKaJrHT01FaBxQ3Hs21_FGe3hRXmiWIGdmEck_Drnth4QuCPkk=w1600	assets/screenshots/gps-speed-go/03.png	PNG	1080	2400
ttcal	01	https://play-lh.googleusercontent.com/v_bD2Htdhr0lPlPUwCBqWmf5bxMIQSKTPc46D3pmkS3OlAeNmY1xTylL01FxMSoJFktvYPak8an9Cds7jsVuRQ=w1600	assets/screenshots/ttcal/01.png	PNG	1080	2400
ttcal	02	https://play-lh.googleusercontent.com/p4b_UpMLKre5H6zIlG9jt25RWSkGW_jpOh7goKl5UFeiFqm3LD6Sio2brF_jrL7ixNHm6P2_r_gyRR4D71CWxA=w1600	assets/screenshots/ttcal/02.png	PNG	1080	2400
ttcal	03	https://play-lh.googleusercontent.com/59FweBmEZPwrfTDTugkSTHyCEFnWFs5gj6Z_LXke44CNTeSy8Tranv3BqqoXZWiHit0-OSYYB9w7TGKvptDfOQ=w1600	assets/screenshots/ttcal/03.png	PNG	1080	2400
retro-timestamp	01	https://play-lh.googleusercontent.com/p4rxnMj3E6XrWQFgUnqPlY1UI6VvQPE8q_uXBD0Zy4TqP1lZ33bi91nvCOxDmrQJiKPskCs6mMhSoZo3-2CLe8w=w1600	assets/screenshots/retro-timestamp/01.jpg	JPEG	1080	2400
